,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-04-12,3667,272,3542,1280,22201,7307,12035,1625,1875,19895,12452,499,1407,20852,7928,1587,1344,1963,20595,633,8225,25475,24244,1621,2781,4352,387,791,2836,929,61850,1245,189033,4570,331,6604,1970,1527,23219,897,2665,3320,730,5390,9747,2303,727,5274,10609,593,3341,270
2020-04-13,3870,277,3705,1410,23403,7691,13381,1758,1955,21019,13315,504,1426,22025,8359,1710,1390,2018,21016,698,8936,26867,25635,1621,2942,4568,394,814,2990,985,64584,1262,195749,4886,341,6975,2069,1584,24505,903,2665,3391,868,5606,10404,2363,748,5747,10635,611,3428,275
2020-04-14,4041,285,3809,1498,24541,7950,13989,1926,2058,21628,14578,511,1464,23248,8527,1899,1441,2048,21518,735,9472,28164,27001,1695,3087,4815,399,897,3134,922,68824,1345,203020,5113,364,7285,2184,1633,25612,923,3251,3553,988,5788,11108,2417,752,6182,10799,640,3555,282
2020-04-15,4307,293,3964,1569,26353,7956,14755,2014,2197,22511,14987,524,1473,24593,8960,1995,1504,2210,21951,770,10032,29918,28059,1809,3360,4876,404,901,3211,1139,71030,1484,214454,5340,392,7794,2263,1663,26841,974,3251,3656,1168,6051,11798,2548,759,6500,10942,702,3721,287
2020-04-16,4465,300,4237,1620,27575,8286,15884,2070,2350,23343,15669,530,1587,25734,9542,2141,1615,2435,22532,796,10784,32181,28809,1809,3624,5265,415,952,3214,1139,75317,1484,223691,5639,438,8414,2357,1736,28033,1043,3529,3931,1311,6341,12450,2683,774,6889,11057,728,3875,296
2020-04-17,4557,309,4511,1695,29293,8691,16809,2317,2476,24759,17194,541,1609,27578,10154,2332,1730,2522,23118,827,11572,34402,30023,2070,3793,5469,422,1066,3524,1287,78467,1597,230597,6045,528,9107,2465,1785,29855,1068,4177,4099,1411,6661,13032,2793,779,7491,11517,775,4053,305
2020-04-18,4788,314,4724,1744,30639,9047,17550,2538,2666,25492,17669,574,1655,29160,10641,2513,1821,2707,23580,847,12326,36372,30791,2209,3974,5652,426,1249,3626,1342,81420,1798,241712,6328,584,10222,2465,1844,31671,1118,4491,4248,1542,6834,13393,2917,803,8053,11776,785,4199,309
2020-04-19,4978,319,4933,1781,31304,9730,17962,2538,2793,26314,18301,580,1668,30357,11211,2902,1905,2960,23928,867,12847,38077,31424,2356,4274,5808,433,1474,3728,1390,85301,1845,247815,6601,626,11602,2567,1910,32938,1213,4706,4377,1635,7111,13673,3069,813,8542,12255,890,4346,313
2020-04-20,5163,321,5068,1973,33559,9730,19815,2745,2927,27059,19407,584,1672,31513,11688,3159,2048,3050,24523,875,13684,38077,32000,2470,4512,5953,433,1648,3830,1447,88722,1971,253060,6895,644,12919,2680,1957,33833,1252,5090,4446,1685,7361,14577,3213,816,8990,12114,902,4499,317
2020-04-21,5404,329,5256,1990,35750,10473,20360,2931,3098,27869,19881,586,1736,33059,12097,3641,2164,3204,24854,888,14193,41199,32667,2567,4716,6162,437,1685,3937,1490,92387,1971,258361,7134,676,13725,2807,2004,35077,1298,5500,4439,1755,7649,15270,3297,818,9630,12392,908,4625,443
2020-04-22,5692,335,5473,2276,37745,10891,22469,3200,3206,28309,21214,592,1766,35107,12438,3748,2331,3378,25258,907,14775,42944,33966,2722,4894,6376,439,1813,4081,1588,95914,2210,263292,7495,709,14117,2894,2059,36420,1252,5841,4761,1858,8148,16029,3445,823,10266,12596,939,4845,447
2020-04-23,5899,337,5772,2599,39593,11278,23100,3308,3361,29648,21883,596,1836,36937,13039,3924,2721,3479,25739,937,15737,46023,35296,2942,5153,6593,442,2202,4208,1670,100025,2379,263460,7820,747,14694,3017,2127,38274,1416,6256,4917,1956,8600,16904,3612,825,10998,12753,981,5052,453
2020-04-24,6092,339,6045,2810,41463,12256,23936,3442,3528,30533,22491,601,1870,39658,13681,4445,2959,3779,26140,965,16616,50969,36641,3185,5434,6867,444,2424,4398,1720,102196,2521,271590,8290,802,15169,3121,2177,39915,1276,6699,5070,2040,9068,17673,3782,827,11594,12977,1010,5356,473
2020-04-25,6274,339,6286,2911,42429,12968,24583,3576,3699,30839,23222,605,1887,41777,14399,5092,3135,3915,26512,965,17766,53348,37074,3446,5718,7013,445,2719,4539,1797,105498,2660,282143,8768,866,15587,3194,2253,41460,1307,7129,5253,2147,9369,18259,3948,843,12366,13319,1010,5687,491
2020-04-26,6475,340,6534,3001,43732,13441,25269,4034,3841,31532,23486,606,1897,43903,15012,5476,3277,4085,26773,1015,18581,54938,37778,3602,5911,7193,448,3028,4734,1864,109038,2726,288045,8997,942,15972,3254,2311,42784,1371,7439,5498,2212,9667,18614,4123,851,12970,13521,1055,5912,502
2020-04-27,6621,345,6725,3069,45310,13879,25997,4162,3892,32138,24302,607,1897,45883,15961,5868,3473,4156,27068,1023,19487,56462,38210,3811,6094,7377,449,3358,4700,1938,111188,2825,291996,9321,991,16325,3281,2354,43695,1389,7708,5613,2244,9964,20007,4236,855,13538,13686,1063,6081,520
2020-04-28,6820,351,6955,3127,46825,14316,26312,4575,3994,32848,24922,609,1952,48102,16588,6376,3652,4375,27286,1040,20113,58302,39262,4181,6342,7516,451,3517,4821,2010,113856,2974,295106,9755,1033,16769,3410,2385,45199,1400,7927,5735,2313,10237,20699,4345,862,14339,13842,1095,6289,536
2020-04-29,6979,355,7209,3193,49222,14758,26767,4655,4106,33193,25775,613,1952,50358,17182,6843,3839,4537,27660,1056,20849,60265,40399,4644,6569,7761,451,3851,4934,2058,116365,3213,299691,10180,1066,17303,3473,2446,46372,1433,8247,5882,2373,10805,22120,4497,862,14962,14070,1110,6520,545
2020-04-30,7187,355,7655,3281,50711,15284,27700,4734,4323,33690,26264,618,1984,52918,17835,7145,4413,4708,28001,1095,21742,62205,41379,5136,6815,7953,453,4281,5053,2146,118652,3411,304372,10754,1106,18027,3618,2510,47953,1539,8621,6095,2449,11807,23288,4672,866,15847,14327,1125,6854,559
2020-05-01,7440,364,7969,3337,52545,15793,28764,4918,4658,34728,27489,619,2015,56055,18630,7884,4634,4882,28711,1123,23472,64311,42356,5730,7212,8284,453,5008,5248,2310,121203,3513,308314,11070,1152,18743,3748,2579,49646,1575,8962,6258,2525,12576,24619,4828,879,16902,14637,1152,7314,566
2020-05-02,7700,365,8364,3372,53883,16225,29287,5038,4797,35463,28331,620,2061,58505,19295,8643,4885,4879,29140,1153,24473,66263,43207,6232,7441,8527,455,5317,5389,2429,123735,3732,312977,11588,1190,19335,3851,2635,50995,1757,9289,6489,2588,12813,25256,4985,886,17738,15003,1185,7660,579
2020-05-03,7977,368,8640,3437,55250,16635,29287,5208,5016,36078,28665,620,2061,61499,19933,9175,5156,5130,29340,1185,25462,68087,43801,6663,7550,8696,455,5661,5472,2518,126763,3850,316415,11770,1224,19914,3972,2680,52044,1808,9477,6626,2631,13183,25644,5175,897,18672,15185,1195,7964,586
2020-05-04,8203,370,8924,3491,56610,16918,29973,5288,5170,36897,29451,621,2106,63777,20507,9703,5383,5245,29673,1205,26408,69087,43990,7234,7877,9018,457,6037,5630,2588,128296,4031,318953,11971,1264,20474,4044,2759,52999,1843,9652,6757,2668,13493,26575,5317,902,19493,15462,1224,8236,596
2020-05-05,8520,371,9305,3525,59197,17367,30621,5371,5322,37439,29998,625,2127,65889,21033,10111,5648,5822,29996,1226,27117,70271,44451,7851,8207,9204,456,6373,5660,2636,130628,4138,321192,12510,1320,20969,4127,2839,53878,1924,9933,6841,2721,13682,27431,5449,907,20257,15594,1246,8566,604
2020-05-06,8769,373,9707,3611,61076,17832,30995,5778,5461,38002,30743,626,2158,68232,21870,10404,5993,5934,30399,1254,28163,72025,45179,8579,8424,9409,456,6689,5741,2741,131928,4291,323978,13053,1367,21576,4202,2916,54846,1968,10205,6936,2780,13941,28734,5595,908,20257,15905,1242,8901,631
2020-05-07,9115,375,9945,3703,63001,18370,31784,5939,5654,38828,31618,629,2178,70871,22503,11059,6332,6129,30652,1330,29374,73721,45745,9365,8686,9622,456,7334,5855,2843,134037,4493,327469,13540,1422,22131,4330,2989,55948,2031,10530,7142,2906,14333,29594,5724,916,21570,16231,1287,9215,635
2020-05-08,9437,378,10526,3747,65125,18827,32411,6111,5899,39199,32181,629,2178,73760,23146,11457,6667,6288,30855,1374,30485,75333,46386,10088,9090,9764,458,7818,5920,2947,135899,4673,330407,14006,1462,23016,4424,3068,57369,2156,10779,7367,3145,14528,30953,5919,919,22342,16388,1323,9590,644
2020-05-09,9720,379,10960,3747,67256,19375,32984,6277,6102,40001,32588,631,2205,76085,23732,11671,6829,6440,31417,1408,31534,76743,46815,10790,9378,9939,458,8093,6171,3011,137464,4778,333122,14478,1488,23697,4490,3160,58462,2173,10989,7531,3393,14772,32507,6103,921,23196,16674,1323,9939,653
2020-05-10,9982,380,11119,4012,68446,19703,33554,6277,6272,40596,33580,632,2230,77741,24126,11959,6951,6440,31600,1436,32587,77793,47182,11271,9501,10078,458,8171,6120,3071,138823,4863,335395,14938,1514,24081,4589,3228,59877,2198,11274,7653,3517,15019,32900,6251,927,24081,16891,1360,10219,662
2020-05-11,10262,380,11383,4043,69951,19879,33765,6565,6389,40982,34002,634,2260,79007,24627,12373,7159,6677,31815,1462,33373,78462,47552,11799,9674,10174,459,8407,6152,3160,140289,5069,337055,15274,1566,24777,4613,3286,60469,2256,11450,7792,3614,15571,33816,6362,926,25070,17122,1366,10418,669
2020-05-12,10566,384,11736,4164,71640,20157,34333,6741,6485,41923,34924,635,2293,83021,25127,12912,7240,6853,32050,1477,34061,79332,48021,12494,9908,10297,461,8532,6313,3239,141016,5212,338485,15622,1640,25250,4732,3358,61257,2299,11614,7927,3663,16267,35529,6432,927,25800,17330,1378,10611,675
2020-05-13,10822,384,12216,4236,73672,20475,34855,6952,6584,42402,35427,638,2293,84694,25473,13289,7518,6853,32662,1515,34812,80497,48391,12917,10090,10436,462,8912,6476,3299,141673,5364,340661,16352,1707,25721,4858,3416,62018,2329,11835,8030,3732,16587,36341,6620,929,26746,17512,1398,10902,688
2020-05-14,11161,384,12674,4366,75451,20838,35464,7223,6736,43210,35977,637,2351,87937,26053,13675,7705,7225,33489,1565,35903,82182,49582,13435,10483,10627,462,9260,6504,3382,142834,5503,343051,16968,1758,26357,4963,3479,62934,2427,12016,8189,3792,16848,37026,6749,932,27813,17773,1427,11275,701
2020-05-15,11494,389,13169,4463,77395,21232,36085,7373,6871,44138,36772,638,2351,90369,26656,14049,7886,7444,33837,1603,36986,83421,50079,14240,10801,10821,466,9610,6733,3453,144124,5662,345813,17494,1845,26954,5087,3541,63943,2542,12219,8407,3887,17041,38277,6913,933,28672,17951,1447,11685,716
2020-05-16,11828,389,13666,4578,79465,21633,36703,7547,7042,44811,37212,639,2419,92457,27280,14328,7939,7688,34117,1648,37968,84933,50538,14969,11123,11000,468,10220,6813,3556,145233,5847,348232,18130,1895,27474,5237,3612,65044,2589,12434,8661,3959,17301,39930,7068,934,29683,18288,1470,12187,741
2020-05-17,12137,389,13945,4759,81051,21938,37419,7670,7123,45588,37579,640,2419,94191,27778,14651,7953,7688,34432,1687,38804,86010,51142,15668,11296,11133,468,10177,6949,3596,146653,5938,350121,18673,1928,27923,5310,3623,65743,2646,12674,8816,3987,17772,40486,7238,940,30388,18433,1492,12543,754
2020-05-18,12438,389,14208,4813,82497,22202,38116,7869,7270,46442,38283,640,2455,96485,28255,14955,8303,7935,34709,1713,39762,87052,51915,16372,11432,11264,470,10625,7061,3652,148401,6096,351371,19207,1987,28454,5398,3687,66521,2710,12795,8942,4027,18113,41710,7384,940,31140,18611,1502,12687,766
2020-05-19,12825,401,14576,4923,84643,22482,38430,8037,7434,46944,38855,641,2455,98030,28705,15296,8353,8069,35038,1741,41546,87925,52350,17029,11704,11414,471,10854,7096,3721,149533,6192,352845,19239,2069,28952,5489,3726,67086,2805,12951,9056,4085,18447,42840,7518,944,32145,18811,1502,12885,776
2020-05-20,13186,402,14906,5003,86920,22797,39017,8194,7551,47471,39801,643,2506,100418,29274,15620,8507,8167,35316,1819,42323,88970,53009,17670,11967,11562,478,11122,7388,3868,150976,6317,354370,20262,2168,29436,5532,3801,67855,2866,13356,9175,4177,18706,43930,7710,944,32908,18971,1567,13413,787
2020-05-21,13590,402,15348,5458,89228,23191,39208,8386,7788,48675,40663,647,2506,102688,29936,16170,8625,8286,36504,1877,43531,90084,53510,18200,12222,11728,479,11427,7400,3935,151802,6472,356458,20512,2237,30167,5680,3817,68828,2913,13571,9381,4177,19089,44797,7874,950,34137,19117,1593,13885,801
2020-05-22,13954,405,15624,5612,91473,23487,39640,8529,7893,49451,41482,642,2595,105444,30409,16492,8909,8426,36925,1948,44424,90889,53913,19005,12625,11878,479,11662,7525,4014,152818,6625,358154,22110,2287,30794,5849,3864,69795,3030,13736,9638,4356,19474,45627,8057,952,34950,19265,1705,14396,803
2020-05-23,14328,409,16053,5775,93546,23964,40022,8529,7966,50127,42242,643,2595,107796,30901,16898,8946,8571,36925,2013,45495,91662,54365,19845,13005,11994,479,11963,7526,4089,153383,6625,359926,22864,2341,31408,5960,3888,70559,3100,13952,9895,4464,19892,45917,8260,954,35749,19265,1705,14877,813
2020-05-24,14676,409,16377,5922,95332,24174,40468,8809,8110,50867,42902,643,2626,110304,31376,17251,9004,8571,37169,2055,46313,92675,54679,20573,13260,12155,479,12134,7881,4149,154402,6943,361515,23365,2381,31911,6037,3927,71266,3189,14065,10096,4563,20223,46538,8392,956,36244,19828,1759,15277,838
2020-05-25,15309,410,16575,6029,97443,24269,40873,8965,8225,51746,43400,643,2626,112017,31715,17557,9125,8571,37809,2074,47152,93271,54881,21315,13458,12456,479,12362,7956,4197,155343,7026,362764,24057,2424,32477,6090,3949,71827,3260,14065,10178,4586,20817,47281,8521,962,37727,20065,1774,15584,843
2020-05-26,15899,412,16864,6180,99913,24565,41303,9066,8334,52255,43983,643,2626,113195,32078,17703,9199,8951,38054,2109,47687,93693,55104,21960,13731,12565,479,12619,8057,4231,156030,7130,363836,24455,2441,33006,6138,3967,72295,3324,14210,10416,4653,21171,48422,8620,967,39342,20181,1774,15863,850
2020-05-27,16263,413,17318,6277,102579,24767,41288,9096,8406,52634,44638,644,2699,114306,32437,18369,9291,9077,38497,2137,48423,94220,55608,22464,14044,12813,481,12984,8150,4286,156909,7252,364965,24916,2482,33439,6229,4038,72992,3397,14353,10623,4710,21385,49299,8706,971,40249,20406,1899,16462,860
2020-05-28,16749,426,17877,6538,104739,25121,41559,9171,8492,53285,45266,647,2770,115833,33068,18586,9371,9185,38802,2189,49709,94895,56014,22947,14372,12975,485,13249,8248,4389,157485,7364,366733,25800,2522,33915,6273,4086,73677,3486,14494,10788,4793,21981,50507,8921,974,41401,20764,1935,16974,876
2020-05-29,17262,431,18472,6777,107880,25612,41762,9236,8538,54497,45881,649,2770,117455,33558,18957,9662,9464,38802,2226,50988,95512,56621,23531,14793,13087,493,13648,8376,4492,159152,7493,368284,26885,2556,34566,6338,4131,74392,3647,14635,11131,4866,22211,51641,9264,975,42533,21071,1951,17707,891
2020-05-30,17689,435,19258,7013,111535,26098,42022,9422,8717,55424,46331,651,2803,118917,34211,19244,9690,9704,39577,2282,52015,96301,56969,24190,15229,13298,505,13905,8517,4492,159922,7624,369660,27794,2579,35033,6418,4185,75115,3718,14819,11394,4960,22667,52487,9533,977,43611,21349,1989,18230,898
2020-05-31,18200,461,19936,7253,113868,26378,42201,9498,8801,56163,47063,652,2839,120260,34574,19552,9700,9704,39916,2325,52778,96965,57397,24850,15523,13425,515,14101,8628,4651,160760,7689,370770,28785,2626,35513,6418,4243,75663,3776,14928,11861,4993,23274,53020,9797,981,44607,21702,2010,18403,903
2020-06-01,18525,469,20129,7443,116307,26577,42740,9605,8857,56830,47902,652,2839,121234,34830,19699,9920,10046,40341,2349,53327,100805,57532,25208,15752,13722,519,14345,8702,4685,161246,7800,371711,29592,2647,35984,6573,4302,76045,3873,14991,12148,5034,23877,54298,9999,983,45398,22239,2028,18543,910
2020-06-02,18734,489,21264,7818,118728,26788,42979,9685,8886,57447,48207,653,2933,122848,35237,20019,9965,10185,40746,2377,54175,101163,57731,25508,16041,14020,523,14616,8858,4749,161904,8024,373040,30023,2681,36350,6692,4335,76590,3935,15112,12415,5067,24521,56062,10202,988,46239,22516,2056,18917,912
2020-06-03,18954,517,22356,8067,120949,27060,43091,9712,9016,58764,48894,653,2933,123830,35712,20300,10092,10410,41133,2418,54982,101592,58035,25870,16322,14205,525,14885,8951,4795,162445,8140,374085,31276,2707,36792,6805,4399,77133,4023,15219,12415,5162,24874,57143,10497,990,46905,22764,2077,19400,915
2020-06-04,19262,525,22886,8425,123979,27360,43239,9746,9120,60183,49859,655,2990,124759,36096,20806,10167,10705,41562,2446,55858,102063,58241,26273,16560,14443,539,15139,9129,4876,162923,8353,375133,32075,2747,37282,6907,4474,77677,4508,15325,12415,5247,25101,65147,10813,1026,47856,23024,2102,19892,921
2020-06-05,19910,536,24439,8651,127108,27615,43460,9773,9199,61488,50621,664,3111,125915,36578,21154,10306,10977,41989,2482,56770,102557,63777,26980,16769,14573,541,15406,9309,4953,163748,8672,376208,33295,2816,37758,7007,4570,78149,4620,15441,13453,5277,25611,68324,11252,1027,48532,23483,2119,20249,933
2020-06-06,20355,548,25451,9101,129915,27848,43818,9845,9269,62758,51359,673,3139,126890,36997,21478,10361,11287,42486,2524,57482,103132,64229,27501,17039,14948,540,15572,9491,5019,164314,8800,377316,34718,2862,38111,7059,4570,78885,4915,15441,13453,5367,26079,69408,11798,1046,49397,23767,2136,20571,939
2020-06-07,20777,556,26989,9426,132450,28001,43968,9942,9332,63938,51898,675,3139,127757,37397,21712,10406,11287,42816,2570,57973,103436,64648,27886,17270,15023,545,15664,9669,5043,164593,8940,378097,35625,2881,38476,7150,4662,79314,4985,15441,14286,5438,26505,69782,12066,1063,50681,24078,2144,20835,947
2020-06-08,21268,575,27678,9740,134704,28183,44092,9972,9389,64904,52497,676,3189,128415,37623,22007,10544,11476,43050,2588,58404,103626,64944,28224,17768,15172,548,15786,9816,5079,164941,9062,378799,36517,2902,38837,7205,4922,79661,5046,15642,14800,5471,26992,71190,12322,1075,51251,24378,2161,21038,960
2020-06-09,21834,585,28296,10080,137516,28347,44179,10020,9474,66000,53249,682,3221,129212,38033,22237,10609,11707,43612,2606,58904,103889,64998,28523,18123,15325,554,15918,10045,5079,165257,9105,379482,37227,2943,39162,7363,4988,80165,5185,15691,15228,5523,27577,75122,12559,1084,51738,24630,2169,21308,970
2020-06-10,22659,605,29852,10368,140615,28499,44347,10056,9537,67371,53980,685,3260,129837,38337,22626,10750,11883,44030,2637,59465,104156,65182,28869,18483,15493,561,16058,10218,5178,165823,9250,380156,38473,2981,39575,7483,5060,80594,5329,15756,15759,5604,28004,78260,12864,1095,52177,24892,2194,21593,980
2020-06-11,23370,622,31267,10816,143627,28647,44461,10106,9589,69069,54973,692,3260,130603,38748,22973,10823,11945,44472,2667,60197,104667,65449,29316,18483,15693,563,16315,10473,5209,166318,9367,380892,39584,3017,40004,7626,5237,81139,5352,15862,16441,5665,28616,79908,13252,1110,52647,25176,2217,21926,1009
2020-06-12,24405,637,33039,11547,147430,28822,44689,10173,9654,70971,55783,706,3353,131198,39146,23350,10973,12166,44995,2721,60613,105059,65672,29795,19091,15991,573,16522,10704,5251,166685,9526,381714,41417,3059,40424,7849,5377,81777,5536,15947,17170,5742,29160,82477,13577,1119,53211,25542,2249,22246,1027
2020-06-13,25364,666,34660,12095,150679,29017,44994,10229,9709,73552,56804,723,3353,131871,39543,23717,11020,12445,46283,2757,61305,105395,65836,30172,19348,16218,588,16640,10997,5299,167141,9621,382630,42845,3081,40851,8073,5377,82222,5690,15947,17955,5833,29697,83719,13981,1125,53869,25825,2274,22518,1050
2020-06-14,26182,673,35706,12501,153229,29130,45088,10264,9767,75568,57681,728,3399,132543,39909,23926,11101,12445,46619,2793,61701,105603,66054,30471,19516,16257,601,16730,11201,5318,167425,9723,383324,44264,3103,41148,8231,5377,82563,5811,15947,18795,5898,30300,84978,14313,1127,54506,26158,2290,22758,1060
2020-06-15,26485,676,36844,12917,155545,29299,45235,10340,9799,77326,58414,736,3399,133016,40430,24082,11319,12647,47172,2810,62032,105690,66085,30693,19799,16607,609,16851,11315,5345,167669,9845,383944,45114,3126,41576,8417,5820,82896,5890,16093,19378,5928,31006,89116,14608,1128,54886,26530,2322,22932,1079
2020-06-16,27034,688,39185,13191,159309,29442,45349,10403,9818,80109,59078,736,3462,133639,40786,24179,11411,12647,47706,2819,62409,105885,66269,30882,20152,16872,614,17038,11683,5364,168022,9933,384575,45907,3165,42010,8645,6098,83220,5951,16164,19990,5966,31617,93221,14937,1131,55331,26787,2341,23198,1089
2020-06-17,27941,708,40937,13606,163857,29671,45429,10444,9847,82719,60030,744,3632,134185,41013,24460,11644,12995,48634,2836,62969,106151,66497,31296,20641,17092,630,17231,11854,5436,168323,10065,385142,46934,3193,42422,8904,6218,83588,6003,16213,20556,6050,32022,97204,15344,1130,55775,27193,2376,23456,1114
2020-06-18,28676,721,43445,13928,168520,29901,45440,10499,9903,85926,60912,762,3743,134778,41438,24861,11753,13197,48634,2878,63229,106422,66798,31675,20641,17405,655,17414,12169,5450,168748,10153,385760,48167,3225,43122,9355,6366,84030,6111,16269,21533,6109,33116,100115,15839,1135,56238,27608,2418,23876,1144
2020-06-19,29225,734,46910,14631,172747,30187,45557,10611,9952,89748,62009,789,3871,135470,41746,25274,12021,13454,48515,2913,63548,106650,67097,32031,20641,17711,666,17588,12524,5486,169167,10260,386556,49785,3249,43731,9707,6572,84540,6195,16337,22608,6158,33852,104059,16425,1144,56793,28225,2468,24154,1173
2020-06-20,29683,755,50127,15142,177450,30348,45715,10681,9984,93797,63809,789,4004,136104,42061,25496,12097,13630,49385,2938,63956,106936,67545,32467,20641,18121,698,17707,12976,5518,169522,10430,387272,51390,3288,44261,10038,6572,85020,6463,16337,23756,6225,34256,107899,17068,1147,57443,28676,2500,24539,1179
2020-06-21,30122,766,52591,15561,181628,30539,45755,10775,10020,97291,64701,814,4006,136762,42423,25963,12136,13750,49778,2957,64306,107061,67711,32920,20641,18552,717,17812,13240,5544,169843,10565,387936,52801,3313,44808,10516,6572,85489,6525,16337,24661,6297,34846,110486,17462,1159,57994,28874,2533,24819,1197
2020-06-22,30771,774,54599,16083,187546,30705,45782,10820,10058,100217,65928,816,4256,137224,42633,26146,12428,13839,50239,2971,64603,107210,67957,33227,22329,18744,734,17963,13528,5558,170148,10694,388488,53964,3320,45537,10734,7083,85939,6564,16459,25666,6326,35471,114173,17906,1163,58465,29394,2552,25068,1230
2020-06-23,31889,776,58378,16678,195440,30893,45899,10847,10094,103503,67810,819,4254,137825,42871,26469,12537,14141,51595,2996,65007,107439,68197,33469,22898,19209,743,18099,13528,5571,170506,10838,389085,54639,3361,46127,11031,7274,86524,6685,16533,26572,6353,36484,120495,18300,1164,58994,29874,2593,25331,1254
2020-06-24,32878,807,60190,17375,201101,31155,45913,10889,10128,109014,69381,835,4402,138540,43140,26601,12930,14363,52477,3017,65337,107611,68555,33763,23424,19557,766,18221,13528,5598,170683,10990,389666,56527,3393,46759,11510,7444,87022,6820,16606,27897,6419,37323,126383,18784,1184,59514,30372,2631,25763,1282
2020-06-25,33880,830,63281,18062,206583,31479,45994,10980,10159,114018,71095,851,4865,139434,43655,27373,13107,14617,53415,3070,65777,107837,68989,34123,24516,20047,803,18346,14859,5638,171018,11192,390415,57472,3420,47651,11948,7568,87595,6877,16640,29022,6479,38389,130905,19374,1191,59946,30866,2694,26227,1326
2020-06-26,34903,851,66659,18740,213098,31796,46059,11017,10185,122960,72995,866,4865,140291,44140,27717,13462,14859,54769,3102,66115,108070,69329,34616,25066,20576,829,18524,15240,5671,171430,11408,391220,59158,3458,48638,12347,7818,88211,6922,16661,30335,6535,39362,139922,20050,1198,60570,31422,2730,26747,1368
2020-06-27,35083,870,70124,19310,217385,32022,46206,11091,10216,132545,74985,872,5322,141077,44575,28073,13617,15167,54769,3154,66450,108443,69679,35033,25531,20935,852,18775,16339,5717,171741,11619,391923,60812,3493,49455,12646,8094,88822,7066,16661,31939,6626,39625,145036,20628,1200,61247,31766,2782,27286,1392
2020-06-28,36503,898,73920,19818,223548,32307,46303,11226,10248,141075,77210,899,5322,141723,44930,28520,13847,15232,56236,3191,66777,108667,69946,35549,25892,21034,863,18899,17160,5747,172066,11809,392539,62248,3539,50309,12947,8341,89309,7189,16661,33320,6681,40279,150227,21100,1202,61736,32267,2832,27743,1417
2020-06-29,37589,920,74545,20257,230704,32511,46362,11376,10292,146341,79417,900,5752,142461,45228,28845,14209,15347,57081,3219,67254,108768,70223,35861,26567,21206,919,19042,17894,5760,172199,11982,393403,63736,3577,51046,13175,8485,89867,7250,16764,34644,6716,42053,158634,21664,1208,62189,32831,2870,28058,1450
2020-06-30,38477,955,79228,20777,240809,32715,46514,11474,10327,152434,81291,917,6117,143185,45594,29074,14370,15624,58095,3253,67559,108882,70728,36303,27247,21403,967,19177,18456,5782,172633,12147,393454,65327,3616,51789,13757,8656,90473,7465,16813,36399,6764,43697,166004,22217,1208,62787,33439,2905,28659,1487
2020-07-01,39647,993,84105,21197,248155,33029,46572,11510,10365,158997,84242,926,6370,144013,45952,29514,14830,15842,60178,3294,67918,108882,71089,36716,27900,21507,1016,19310,19101,5802,172934,12276,394079,66751,3659,52865,14119,8931,91110,7537,16853,37919,6826,45115,173058,22716,1210,63203,34152,2979,29199,1514
2020-07-02,41340,1033,87445,22075,256071,33352,46646,11731,10390,169106,87709,946,6593,144008,46387,30259,15002,16079,61561,3328,68423,109338,71678,37210,28770,23133,1083,19452,19733,5822,173411,12520,394954,68216,3722,52865,14531,9294,91928,7608,16941,39701,6893,47029,178603,23270,1227,63735,34909,3053,29738,1550
2020-07-03,42255,1080,91872,22622,261510,33612,46717,11923,10435,178594,90493,975,6994,145750,46915,30463,15659,16376,63289,3373,68961,109628,72175,37624,29684,23691,1128,19660,20718,5857,173829,12776,395872,70262,3779,55257,15069,9636,92700,7683,16991,41532,6978,48369,185333,23866,1236,64393,35260,3126,30317,1582
2020-07-04,43216,1128,94567,23209,266877,33866,46717,11996,10447,190052,93319,999,7370,146612,47432,31061,15911,16376,63289,3397,69341,109838,72581,37624,30674,24147,1167,19827,21575,5872,174132,13063,396598,71670,3815,56183,15648,9930,93365,7787,16991,43386,7028,49822,189410,24542,1238,65109,35902,3205,31055,1606
2020-07-05,44022,1155,98103,23814,277977,34065,46717,12128,10482,200111,95516,1023,7733,147251,48201,31517,16081,16376,65226,3415,69632,109974,72941,38136,30900,24410,1212,19929,22418,5897,174524,13256,397131,72992,3848,57150,15931,10230,93924,7916,16991,44847,7063,51159,196809,24952,1249,65748,36959,3262,31577,1634
2020-07-06,44932,1184,101455,24253,284356,34257,46976,12293,10515,206447,97064,1030,8052,147865,48524,31758,16638,17152,66327,3423,69904,110137,73267,38569,31257,24870,1249,20046,22909,5914,174766,13507,397649,74775,3898,57956,16362,10395,94439,8585,16991,46380,7105,52041,204534,25469,1251,66102,37393,3442,32061,1675
